place,district_code,level,lat,long
"Layout, Kodagu",KDG,locality,12.341969,75.671636
"Circle, Kodagu",KDG,locality,12.382768,75.686585
"Temple Street, Kodagu",KDG,locality,12.388257,75.76371
"Railway Station Road, Kodagu",KDG,locality,12.366084,75.714944
"College Road, Kodagu",KDG,locality,12.51951,75.751775
"Industrial Area, Kodagu",KDG,locality,12.416773,75.810399
"Market Yard, Kodagu",KDG,locality,12.426237,75.81282
"New Extension, Kodagu",KDG,locality,12.358031,75.790097
Chamarajanagar,CHN,district,11.92,76.94
Chamarajanagar Taluk 1,CHN,taluk,11.908226,77.086121
Chamarajanagar Taluk 2,CHN,taluk,11.926928,76.759976
Chamarajanagar Taluk 3,CHN,taluk,11.976148,76.926055
"Market, Chamarajanagar",CHN,locality,11.861741,76.962861
"Bus Stand, Chamarajanagar",CHN,locality,12.022945,76.979614
"1st Main, Chamarajanagar",CHN,locality,11.875668,76.949254
"5th Cross, Chamarajanagar",CHN,locality,11.814123,76.853287
"Layout, Chamarajanagar",CHN,locality,11.994082,76.98435
"Circle, Chamarajanagar",CHN,locality,11.983322,76.941456
"Temple Street, Chamarajanagar",CHN,locality,11.936341,77.00421
"Railway Station Road, Chamarajanagar",CHN,locality,11.932043,76.971105
"College Road, Chamarajanagar",CHN,locality,11.836932,76.973282
"Industrial Area, Chamarajanagar",CHN,locality,11.87323,77.036705
"Market Yard, Chamarajanagar",CHN,locality,11.862414,76.875837
"New Extension, Chamarajanagar",CHN,locality,11.845188,76.967457
